IDMethod,project,package,complextype,method,is_smell,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,isStatic_method,AMWNAMM_type,AMW_type,ATFD_type,CBO_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_project,LOC_type,NIM_type,NMO_type,NOAM_type,NOA_type,NOCS_package,NOCS_project,NOCS_type,NOC_type,NOII_type,NOI_package,NOI_project,NOMNAMM_package,NOMNAMM_project,NOMNAMM_type,NOM_package,NOM_project,NOM_type,NOPA_type,NOPK_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,isStatic_type,num_final_attributes,num_final_not_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_static_attributes,num_static_not_final_attributes,number_abstract_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,number_final_methods,number_final_not_static_methods,number_final_static_methods,number_not_abstract_not_final_methods,number_not_final_not_static_methods,number_not_final_static_methods,number_package_visibility_attributes,number_package_visibility_methods,number_private_visibility_attributes,number_private_visibility_methods,number_protected_visibility_attributes,number_protected_visibility_methods,number_public_visibility_methods,number_standard_design_methods,number_static_methods
1526,nekohtml-1.9.14,org.cyberneko.html,ObjectFactory,createObject(StringStringString),TRUE,3,0,0,0,0,7,111,21,0,17,0,18,1,2,6,4,4,6,0,0.3333333333333333,1,7.714285714285714,7.714285714285714,0,1,10,1,2,0.9,469,7963,10835,469,0,0,0,5,40,56,1,0,0,5,5,277,445,7,322,502,7,0,4,17,0.3,54,54,0,0,3,0,3,0,5,2,0,0,0,0,0,0,7,0,7,0,5,5,2,0,0,0,7,7
1643,nekohtml-1.9.14,org.cyberneko.html,HTMLConfiguration,setInputSource(XMLInputSource),FALSE,1,0,19,1,0,1,7,2,0,1,0,32,0.095238095,1,0,2,1,1,0,1,0,3.111111111111111,2.1666666666666665,22,9,13,2,8,0.9899665551839464,488,7963,10835,624,8,0,15,26,40,56,1,0,1,5,5,277,445,9,322,502,24,0,4,41,0.1778656126482213,28,52,0.2857142857142857,0,16,5,11,7,14,3,0,0,1,0,0,0,24,24,0,0,0,1,0,25,3,21,8,0
1866,trove-2.1.0,gnu.trove.benchmark,MemoryUsage,sizeOf(MemoryUsage.Creator),FALSE,1,1,0,0,1,3,18,3,0,9,0,9,0,1,1,0,1,1,0,1,1,2,2,0,0,11,1,10,0,196,993,8432,196,0,0,0,0,30,91,10,0,0,4,9,106,567,4,111,585,4,0,3,15,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,2,4,4
1867,trove-2.1.0,gnu.trove.benchmark,MemoryUsage,getUsedMemory(),FALSE,0,0,0,0,0,1,8,1,0,3,0,3,0,0,0,0,1,0,0,0,1,2,2,0,0,11,1,10,0,196,993,8432,196,0,0,0,0,30,91,10,0,0,4,9,106,567,4,111,585,4,0,3,15,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,2,4,4
1868,trove-2.1.0,gnu.trove.benchmark,MemoryUsage,gc(),FALSE,0,1,0,0,1,2,14,2,0,1,0,1,0,0,0,0,0,0,0,0,1,2,2,0,0,11,1,10,0,196,993,8432,196,0,0,0,0,30,91,10,0,0,4,9,106,567,4,111,585,4,0,3,15,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,2,4,4
1869,trove-2.1.0,gnu.trove.benchmark,MemoryUsage,main(String[]),FALSE,1,0,0,0,0,2,31,2,0,6,0,5,0,9,10,0,0,10,0,0.9,1,2,2,0,0,11,1,10,0,196,993,8432,196,0,0,0,0,30,91,10,0,0,4,9,106,567,4,111,585,4,0,3,15,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,2,4,4
1870,trove-2.1.0,gnu.trove.benchmark,MemoryUsage.MemoryComparator,MemoryComparator(MemoryUsage.CreatorMemoryUsage.CreatorString),FALSE,3,1,0,0,1,1,7,1,0,3,0,6,1,0,0,3,0,0,0,0,0,1,1,0,2,2,1,1,0.5,26,993,8432,26,0,0,0,2,30,91,0,0,0,4,9,106,567,2,111,585,2,0,3,4,1,2,2,1,1,0,0,0,3,0,0,0,0,1,0,0,0,2,2,0,3,1,0,0,0,0,1,1,0
2225,trove-2.1.0,gnu.trove,TLinkedList.IteratorImpl,IteratorImpl(int),FALSE,1,1,5,2,1,3,22,8,0,2,0,7,0,1,2,0,0,2,0,0.5,0,2.5,2.636363636363636,6,3,6,1,3,1,170,7010,8432,197,0,0,1,3,59,91,0,0,1,5,9,451,567,10,464,585,11,0,3,18,0,25,29,0.8888888888888888,0,0,0,0,3,0,0,0,0,1,9,9,0,2,2,0,0,1,3,1,0,0,9,9,0
2495,oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,JMSBroadcastingListener,initialize(CacheConfig),FALSE,2,0,0,0,0,5,79,3,0,10,0,15,1,4,4,5,1,4,0,1,0,2.5,2.5,0,10,4,2,4,0.6,166,713,11929,166,14,1,0,5,7,66,1,0,0,0,10,34,479,4,36,629,4,0,13,34,0.5,10,10,1,0,1,0,1,4,1,0,0,0,0,0,0,0,4,4,0,0,0,5,0,0,2,2,4,0
2496,oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,JMSBroadcastingListener,finialize(),FALSE,0,0,0,0,0,3,15,4,0,1,0,3,1,0,0,2,0,0,0,0,0,2.5,2.5,0,10,4,2,4,0.6,166,713,11929,166,14,1,0,5,7,66,1,0,0,0,10,34,479,4,36,629,4,0,13,34,0.5,10,10,1,0,1,0,1,4,1,0,0,0,0,0,0,0,4,4,0,0,0,5,0,0,2,2,4,0
2497,oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,JMSBroadcastingListener,sendNotification(ClusterNotification),FALSE,1,0,0,0,0,2,12,2,0,3,0,7,1,0,0,4,0,0,0,0,0,2.5,2.5,0,10,4,2,4,0.6,166,713,11929,166,14,1,0,5,7,66,1,0,0,0,10,34,479,4,36,629,4,0,13,34,0.5,10,10,1,0,1,0,1,4,1,0,0,0,0,0,0,0,4,4,0,0,0,5,0,0,2,2,4,0
2498,oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,JMSBroadcastingListener,getInitialContext(),FALSE,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,0,10,4,2,4,0.6,166,713,11929,166,14,1,0,5,7,66,1,0,0,0,10,34,479,4,36,629,4,0,13,34,0.5,10,10,1,0,1,0,1,4,1,0,0,0,0,0,0,0,4,4,0,0,0,5,0,0,2,2,4,0
2499,oscache-2.4.1,com.opensymphony.oscache.plugins.clustersupport,com.opensymphony.oscache.plugins.clustersupport.JMSBroadcastingListener$1,onMessage(Message),FALSE,1,0,2,1,0,3,32,6,0,4,0,6,0,1,1,0,0,1,0,1,0,6,6,2,3,1,1,1,0,34,713,11929,34,0,0,0,0,7,66,0,0,1,0,10,34,479,1,36,629,1,0,13,2,1,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,1,1,0
2656,oscache-2.4.1,com.opensymphony.oscache.base.algorithm,AbstractConcurrentReadCache,put(ObjectObjectboolean),TRUE,3,0,0,0,0,6,134,22,0,10,0,20,0.6363636363636364,1,1,7,13,1,0,1,0,4.314814814814815,3.873015873015873,3,3,11,2,5,0.9537166900420756,1910,2259,11929,2005,0,0,9,23,11,66,7,3,3,0,10,101,479,54,113,629,63,2,13,77,0.3835034013605442,233,244,0,0,9,3,6,14,6,0,4,0,4,4,4,0,55,58,1,0,0,4,10,17,19,34,50,1
2657,oscache-2.4.1,com.opensymphony.oscache.base.algorithm,AbstractConcurrentReadCache,remove(Objectbooleanboolean),TRUE,3,0,3,1,0,6,122,24,0,12,0,25,0.5,2,1,7,10,4,0,0.5,0,4.314814814814815,3.873015873015873,3,3,11,2,5,0.9537166900420756,1910,2259,11929,2005,0,0,9,23,11,66,7,3,3,0,10,101,479,54,113,629,63,2,13,77,0.3835034013605442,233,244,0,0,9,3,6,14,6,0,4,0,4,4,4,0,55,58,1,0,0,4,10,17,19,34,50,1
3131,quilt-0.6-a-5,org.quilt.reg,Registry,Registry(),FALSE,0,1,0,0,1,1,4,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1.5454545454545454,1.5454545454545454,0,0,1,1,1,0.3,146,197,8425,146,0,0,0,1,3,66,1,1,0,0,8,16,438,11,16,641,11,0,14,12,0.6222222222222222,17,17,1,0,0,0,0,1,0,0,0,0,1,9,9,0,2,2,0,0,1,1,0,0,0,10,10,0
3132,quilt-0.6-a-5,org.quilt.reg,Registry,clear(),FALSE,0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1.5454545454545454,1.5454545454545454,0,0,1,1,1,0.3,146,197,8425,146,0,0,0,1,3,66,1,1,0,0,8,16,438,11,16,641,11,0,14,12,0.6222222222222222,17,17,1,0,0,0,0,1,0,0,0,0,1,9,9,0,2,2,0,0,1,1,0,0,0,10,10,0
3133,quilt-0.6-a-5,org.quilt.reg,Registry,comparator(),FALSE,0,0,0,0,0,1,3,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1.5454545454545454,1.5454545454545454,0,0,1,1,1,0.3,146,197,8425,146,0,0,0,1,3,66,1,1,0,0,8,16,438,11,16,641,11,0,14,12,0.6222222222222222,17,17,1,0,0,0,0,1,0,0,0,0,1,9,9,0,2,2,0,0,1,1,0,0,0,10,10,0
3134,quilt-0.6-a-5,org.quilt.reg,Registry,containsKey(String[]),FALSE,1,0,0,0,0,2,6,2,0,1,0,2,1,0,0,1,0,0,0,0,0,1.5454545454545454,1.5454545454545454,0,0,1,1,1,0.3,146,197,8425,146,0,0,0,1,3,66,1,1,0,0,8,16,438,11,16,641,11,0,14,12,0.6222222222222222,17,17,1,0,0,0,0,1,0,0,0,0,1,9,9,0,2,2,0,0,1,1,0,0,0,10,10,0
3135,quilt-0.6-a-5,org.quilt.reg,Registry,get(String[]),FALSE,1,1,0,0,4,2,10,3,0,1,0,2,1,0,0,1,0,0,0,0,0,1.5454545454545454,1.5454545454545454,0,0,1,1,1,0.3,146,197,8425,146,0,0,0,1,3,66,1,1,0,0,8,16,438,11,16,641,11,0,14,12,0.6222222222222222,17,17,1,0,0,0,0,1,0,0,0,0,1,9,9,0,2,2,0,0,1,1,0,0,0,10,10,0
3291,quilt-0.6-a-5,org.quilt.cl,GraphTransformer,makeGraph(ClassGenMethodGen),TRUE,2,0,10,5,0,6,181,29,0,24,0,40,0.1666666666666666,9,15,2,1,24,0,0.375,0,8,7.285714285714286,11,13,20,1,12,0.8666666666666667,306,2893,8425,321,0,0,1,5,14,66,0,0,0,4,8,112,438,6,139,641,7,0,14,38,0.2,48,51,0.75,0,0,0,0,5,0,0,0,0,1,3,2,1,4,4,0,0,0,5,1,0,2,4,5,1
3626,quilt-0.6-a-5,org.quilt.cover.stmt,GraphAction.LampLighter,discoverEdge(Edge),TRUE,1,0,14,6,0,8,110,20,1,15,2,33,0.066666667,7,6,1,0,18,2,0.3888888888888889,0,3.7142857142857135,3.7142857142857135,14,9,6,1,7,0.8333333333333334,130,1008,8425,130,0,0,0,1,8,66,0,0,3,0,8,45,438,7,55,641,7,0,14,25,0.066666667,26,26,1,0,0,0,0,1,0,0,0,0,1,0,0,0,7,7,0,0,0,1,0,0,0,7,6,0
3776,squirrel_sql-3.1.2,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,GraphXmlSerializer,GraphXmlSerializer(GraphPluginISessionGraphMainPanelTabString),FALSE,4,1,1,1,1,3,22,3,0,6,0,10,0.75,1,0,3,1,1,0,1,0,2.2222222222222223,2.2222222222222223,1,3,2,1,4,0.825,200,817,8378,200,0,0,0,5,14,153,2,0,0,0,16,26,510,9,116,689,9,0,3,13,1,20,20,1,0,2,0,2,3,2,0,0,0,1,0,0,0,9,7,2,0,0,5,3,0,0,6,8,2
3777,squirrel_sql-3.1.2,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,GraphXmlSerializer,write(GraphControllerXmlBean),FALSE,1,1,1,1,1,2,18,2,0,5,0,9,0.75,1,0,3,0,1,0,1,0,2.2222222222222223,2.2222222222222223,1,3,2,1,4,0.825,200,817,8378,200,0,0,0,5,14,153,2,0,0,0,16,26,510,9,116,689,9,0,3,13,1,20,20,1,0,2,0,2,3,2,0,0,0,1,0,0,0,9,7,2,0,0,5,3,0,0,6,8,2
